Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,Average Packet Size,Packet Length Std,Destination Port,Source IP,Label
1041898.9902045337,20,4,3079.038146898796,23.083168227486713,2,3,437.9458715954612,64.0542481804705,443,195.35.214.128,BENIGN
1700238.2237006489,36,18,6385.422517493441,16.390570724475644,1,16,399.556749602329,276.5641702491097,80,107.112.88.217,BENIGN
2867364.9227783657,31,6,6549.026270760784,33.68811560919833,1,12,557.453444523444,186.62428423679498,443,121.133.254.87,BENIGN
21117.653116810772,19,20,3080.8502488441445,264.6702615489575,3,24,75.61877750366303,1854.1349071932182,22,8.176.69.136,SSH-Patator
2214041.987182128,20,12,3478.0488269939515,18.129451187624458,2,9,818.5591315704355,274.10796515390126,443,10.78.231.22,BENIGN
15399.573050143777,6651,8,7431107.105932104,33135.76809852146,11935,5,87.23432170114954,3944.979494517862,80,24.186.156.159,BENIGN
559.9860757909357,1448,7,6818088.14695147,47178.18979819759,14719,3,117.38280613640939,3194.131242425996,80,165.150.18.10,DoS Hulk
2002658.6645150066,17,32,2327.3903006879023,20.036608247410566,1,15,607.078257408917,28.50170427352576,443,86.65.106.15,BENIGN
272218.378491323,25,35,619.7928764145774,15.731537012854847,0,19,625.4162177501127,59.31674349131745,22,21.239.127.35,BENIGN
69478.97658520521,17,40,5866.255364666936,13.89406375964715,2,18,383.2418760225323,130.56582071612067,443,211.120.189.83,BENIGN
2279.570462553031,3,0,1016.2343688007771,4149.310285938447,3,0,63.76884218756404,1738.3003103244093,40924,123.199.48.106,PortScan
4926.2209993717415,11857,13,1588920.0825655125,14694.508134798938,5684,1,75.89522683960585,1216.0559874032388,80,104.183.56.154,DDoS
1732632.617649846,30,13,3605.96885532665,39.71126364527445,0,5,656.3878463421739,104.77477732807881,443,197.222.103.243,BENIGN
1690274.4048203889,19,16,7134.549796148669,7.216560517822104,2,15,432.3019046424997,213.90694096829145,53,186.80.239.9,BENIGN
367642.24247855355,40,23,1740.8256954259714,15.472630548534829,1,18,871.4648869579006,203.35404527739013,8080,3.33.142.24,BENIGN
1159522.03414699,14,5,1259.69383869864,2.2314966586423153,2,5,239.19668271014066,1773.6444325905939,6667,45.30.127.64,Bot
9401.81393843225,3869,2,2795146.2584962198,29040.213516188964,11565,0,65.6599516258676,3302.1056146606725,80,66.50.65.62,DoS GoldenEye
846545.3792046696,39,2,2172.568271569875,16.48766366198427,1,10,898.5182031802127,282.8519992157612,53,132.44.61.52,BENIGN
62539.03739798955,38,23,7900.793624352284,25.333648566010556,0,25,608.6590726950399,104.79115342642139,443,105.58.99.90,BENIGN
2818692.4117993475,27,23,7491.741275133387,39.25940984255181,0,3,722.2092892634752,77.92445447103754,80,9.178.204.196,BENIGN
1672387.65992351,32,28,6227.892810162958,21.274050334026875,0,25,550.7892505675329,236.65358713499316,443,16.225.149.206,BENIGN
1211557.7699238323,38,7,1380.490681075052,22.3444658492037,1,30,224.2935918535245,133.32430969451553,443,161.117.228.151,BENIGN
1851845.1684185374,39,34,2167.4370387508225,9.936456872912512,2,11,642.6312211054346,190.69278633798575,443,219.56.150.160,BENIGN
121825.76988574323,38,13,2388.3000311270803,22.534785464512513,0,24,385.8398910829419,202.6607972185594,443,43.239.75.172,BENIGN
1646783.6972578114,3,25,1955.4678150038185,10.856336650863131,1,2,885.5405005952858,238.81698152331376,22,87.109.229.88,BENIGN
343301.5671263007,17,5,6072.091979904099,22.99572111547788,2,18,805.8792688421962,87.95207885380799,80,26.69.158.57,BENIGN
3676.094232572033,12531,11,7594538.7723818235,33280.87555320555,15036,4,73.26417799911286,2314.9086646398587,443,134.251.214.106,BENIGN
2572049.260970244,28,8,3227.8101290844143,30.86454020869049,0,4,200.9984328182281,80.29705785268902,443,38.125.28.109,BENIGN
2166519.5273758727,25,6,6691.646807587753,15.24461660771314,0,8,323.3609659043642,267.46226617290176,22,164.195.32.203,BENIGN
8536.734326204145,15,11,1702.2947796117119,95.10564433558685,9,5,71.9495674002787,2044.762236893273,22,27.104.26.52,FTP-Patator
1034673.2576603933,28,18,3020.2977044736313,27.91618934464321,0,1,270.15469700290555,191.67093107833668,53,65.149.22.51,BENIGN
31024.265822036334,5,25,1425.6120293470424,359.54713209018445,7,10,136.52130362174995,1241.6316593180125,21,115.153.13.36,FTP-Patator
1824603.5308727245,30,12,1595.144423828984,31.65085963946217,1,16,770.4300381534536,228.3398264366611,80,22.192.57.91,BENIGN
324485.9295137365,39,30,4785.17459543074,14.542152610081912,0,7,226.742644026309,25.398695414556286,53,161.243.63.75,BENIGN
2042395.5365905282,29,11,6922.478918358366,12.28444115467568,2,21,426.34143272587164,105.17281356382587,8080,49.116.183.14,BENIGN
16463.56502056348,4,60,13669.585254133797,31.55580273311521,3,15,1393.5353841946007,2082.6770975325016,443,211.50.207.143,Web Attack – XSS
1598080.4665487027,32,7,5109.793727138854,28.762769916339877,1,20,582.9994374648261,67.2412893230542,443,136.47.219.226,BENIGN
1877575.990017291,22,22,6755.488279489057,14.773608685595406,0,10,542.0978459376599,111.67407106260974,443,207.19.246.119,BENIGN
12884.28815954158,8511,9,650859.7093685188,14189.074183129052,3548,5,109.13859215223984,3510.3305227559167,80,87.200.134.210,BENIGN
770.4785638509018,5786,14,5077017.448844885,34358.34793970068,17930,5,96.58706758906615,3278.803071003355,443,100.244.250.248,DoS Hulk
2911483.540171157,19,40,6906.577773725506,29.58839924806651,1,18,621.4092011211235,256.0534141619207,22,109.216.142.231,BENIGN
3899741.060532132,11,5,674.8765010290895,1.9553224189992804,0,5,117.16558860993511,1740.5967399969074,8443,209.241.4.24,Bot
433799.1169601095,6,10,7911.0192658594715,39.88644033684129,2,29,704.4500180399621,158.15307603830277,443,193.69.139.8,BENIGN
454477.79948921775,17,6,1236.8939151093166,35.226569823733286,2,6,707.7796268448321,22.063388191254592,22,192.180.252.33,BENIGN
2059710.0525937765,28,8,6580.607299477699,33.42484137050279,2,3,261.0508591299619,176.31046787846998,22,177.236.136.213,BENIGN
